Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	4.42756808573611e-05	0.000334631163143508	0.44736880253449	0.975392837915549	0.00248739780097534	0.0187995035473881
Adipose_Visceral_Omentum	-0.000607669348800073	0.000327068023186625	0.968410491089184	0.975392837915549	-0.0341387274606783	0.0183746080441924
Artery_Aorta	-0.000622397905135633	0.000405851055020352	0.937431323917019	0.975392837915549	-0.0349661744458221	0.0228006210685591
Artery_Tibial	-9.87086756237093e-05	0.00041416214152699	0.594188744943166	0.975392837915549	-0.00554543121481513	0.0232675360408421
B_intermediate	3.95250372184192e-05	0.000163298763077536	0.404374099076092	0.975392837915549	0.00222050770889996	0.00917408781334472
B_memory	-0.000156471905095319	0.000108897838933632	0.924622358972599	0.975392837915549	-0.00879055646602916	0.00611785611986697
B_naive	0.000127346518178245	0.000121132921085664	0.14656140237556	0.464111107522607	0.00715429877405871	0.00680522028571146
Brain_BasalGanglia	-0.00022821590651106	0.000257995512232506	0.811806557066207	0.975392837915549	-0.012821118343318	0.0144941299007026
Brain_Cerebellum	-0.000115797714843653	0.000417944547165603	0.609134818254033	0.975392837915549	-0.00650548959795803	0.0234800307396406
Brain_Cortex	-7.31036748243391e-05	0.000135131623374114	0.705739747524618	0.975392837915549	-0.00410694802383928	0.00759166423450079
Brain_Limbic	4.5701275605588e-05	0.000239668322196967	0.424385996917139	0.975392837915549	0.00256748739357236	0.0134645124829757
Breast_Mammary_Tissue	-0.000172667640765176	0.00031417352863769	0.708700794386168	0.975392837915549	-0.00970042925647056	0.0176501982380725
CD14_Mono	-6.88182440987105e-05	0.000107534566727841	0.73890197567386	0.975392837915549	-0.0038661934886916	0.00604126779369893
CD16_Mono	0.000151522186904651	0.000117000163143087	0.0976498315198188	0.464111107522607	0.00851248241037365	0.00657304287320713
CD4_Naive	2.33991019494455e-05	0.000140415145710039	0.433825756706968	0.975392837915549	0.00131455628929469	0.00788849133202466
CD4_TCM	-0.000232376886872501	0.000232345436814834	0.84137749677931	0.975392837915549	-0.013054881284972	0.0130531144277997
CD4_TEM	-3.20710747442672e-06	7.24147295027282e-05	0.517662603201371	0.975392837915549	-0.000180174577214984	0.00406824323049035
CD8_Naive	0.00015282436731586	0.000109415601455351	0.0812469575367739	0.464111107522607	0.00858563861325056	0.00614694390198601
CD8_TCM	-0.000104944544493327	9.47409016090761e-05	0.866004409249968	0.975392837915549	-0.00589576092659141	0.00532252256230765
CD8_TEM	-0.000161684452378772	0.000154208208991131	0.852791586460288	0.975392837915549	-0.00908339620105461	0.00866338252759163
Cells_Cultured_fibroblasts	0.000634247182714682	0.000354762935006524	0.0369036838024614	0.464111107522607	0.035631864197454	0.0199305019666587
Colon_Sigmoid	-0.000298740375487833	0.00028554733928083	0.852266254042257	0.975392837915549	-0.0167831671622378	0.0160419853528556
Colon_Transverse	0.000512457250773923	0.00025493162894277	0.0222063220031134	0.464111107522607	0.0287897331895462	0.0143220016259983
Esophagus_Mucosa	0.000296593986218868	0.000318746763943679	0.176056032727533	0.514625326434327	0.016662583495442	0.0179071215698696
Esophagus_Muscularis	-0.000117808794956893	0.000377967273032999	0.62236211234282	0.975392837915549	-0.00661847162679174	0.021234116462528
gdT	-4.29324640802282e-06	8.30210470237553e-05	0.520621209939717	0.975392837915549	-0.000241193618428248	0.00466410376537951
Heart_Atrial_Appendage	0.000418438833218294	0.000348279995292958	0.114789551564011	0.464111107522607	0.0235077996190053	0.0195662918703909
Heart_Left_Ventricle	0.000264285062827286	0.000249786469221025	0.145017702695537	0.464111107522607	0.0148474754397352	0.0140329477090463
Lung	0.000461495626523528	0.00033736214690115	0.0856633637214978	0.464111107522607	0.0259267205912094	0.0189529296011882
Muscle_Skeletal	-0.000383719876930131	0.000225156695499611	0.955831385304703	0.975392837915549	-0.0215572964567489	0.0126492525561579
Nerve_Tibial	-0.000409247863507122	0.000407165614679953	0.842579022528107	0.975392837915549	-0.0229914530060181	0.0228744727348288
NK	0.000167731605769122	0.000156017316987565	0.141168726717082	0.464111107522607	0.0094231239196136	0.00876501780829017
NK_CD56bright	0.000128181874132913	9.93548357132141e-05	0.098500631438827	0.464111107522607	0.00720122888387152	0.00558173234343899
Skin_Not_Sun_Exposed_Suprapubic	-1.04110619097132e-05	0.000354461542839695	0.511715842692297	0.975392837915549	-0.000584891118523214	0.0199135698224548
Skin_Sun_Exposed_Lower_leg	0.000486180363918057	0.000356890114353358	0.0865564926334172	0.464111107522607	0.0273135035909021	0.020050006424346
Thyroid	-0.000226566680994617	0.000430220760601322	0.700774336669243	0.975392837915549	-0.0127284652244167	0.0241697056517597
Treg	-0.00011830304164729	6.01521459832697e-05	0.975392837915549	0.975392837915549	-0.00664623829479157	0.00337933404400392
Whole_Blood	0.000290755643530932	0.000261134771286675	0.132761606344716	0.464111107522607	0.0163345867152209	0.0146704927689143
AllTissues	2.98066488988532e-05	0.000345182959620992	0.465593980778946	NA	0.00167453083701422	0.0193923011023029
