Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	-0.00018383612135694	0.00108535618502947	0.567250576197083	0.907090083468628	-0.00252522144721071	0.0149087388053499
Adipose_Visceral_Omentum	3.81463844673801e-05	0.000930864676786745	0.483656112767219	0.907090083468628	0.000523988797628847	0.0127866027031146
Artery_Aorta	-0.000337227492235955	0.00104639864577873	0.626377586111235	0.907090083468628	-0.00463224577247191	0.0143736077716859
Artery_Tibial	-0.00115999100529686	0.00116431152603677	0.840445176484746	0.907090083468628	-0.0159339423804514	0.0159932901928128
B_intermediate	-0.000160940190344299	0.000296027411915396	0.706664509365568	0.907090083468628	-0.00221071690033378	0.00406631060323346
B_memory	-3.63713239879073e-05	0.000250781787668658	0.557657101898486	0.907090083468628	-0.00049960609873499	0.00344480477566838
B_naive	5.0984533694835e-05	0.000294939670748517	0.431379054848013	0.907090083468628	0.000700337001302679	0.00405136910368842
Brain_BasalGanglia	-0.000313443305483545	0.000734877852056326	0.665137099279767	0.907090083468628	-0.00430553991048825	0.0100944759897847
Brain_Cerebellum	-0.000208646172540908	0.000955939628516532	0.586387867374995	0.907090083468628	-0.0028660188535839	0.0131310388532491
Brain_Cortex	-9.02256723257356e-05	0.000384157802893666	0.592843696693086	0.907090083468628	-0.00123936363084802	0.00527689289689102
Brain_Limbic	-0.000389668784472157	0.000648776814867435	0.725953676126599	0.907090083468628	-0.00535259319329886	0.00891176943499224
Breast_Mammary_Tissue	-0.000401310063679833	0.000817177097531837	0.688319712061071	0.907090083468628	-0.00551250087472298	0.0112249601309318
CD14_Mono	5.45343177043906e-05	0.00025266556699472	0.414557804587291	0.907090083468628	0.000749097770664706	0.00347068086531209
CD16_Mono	-0.000248925340349723	0.000231043310208642	0.859348500128174	0.907090083468628	-0.00341930412568301	0.0031736718435253
CD4_Naive	3.53631087899489e-06	0.000377326938764774	0.496261164711494	0.907090083468628	4.85756988872924e-05	0.00518306234566997
CD4_TCM	-1.13100829340941e-05	0.000713050603432594	0.506327574880575	0.907090083468628	-0.000155358282061732	0.00979465114605212
CD4_TEM	4.14542307268331e-05	0.000190293130008333	0.413775301451219	0.907090083468628	0.000569426246247707	0.00261391662099359
CD8_Naive	-0.000217786740429047	0.000222964658508331	0.835660206585125	0.907090083468628	-0.0029915761047946	0.00306270135313641
CD8_TCM	-5.68958414797202e-05	0.000275710306885784	0.581745515038166	0.907090083468628	-0.000781536284062091	0.00378722949018934
CD8_TEM	-0.000250101840997226	0.000423120348648554	0.722769650415211	0.907090083468628	-0.00343546484886299	0.0058120927012164
Cells_Cultured_fibroblasts	0.00117398645499873	0.000919609939297431	0.100869368263848	0.907090083468628	0.0161261875686639	0.012632004660679
Colon_Sigmoid	0.000589080247170726	0.00066765844908266	0.188805193899499	0.907090083468628	0.00809176163696052	0.00917113254234423
Colon_Transverse	0.000186096049505132	0.000748602441325005	0.401838471798815	0.907090083468628	0.00255626441627929	0.0102830005676512
Esophagus_Mucosa	-0.000693512357675506	0.000835916022497221	0.796629834013415	0.907090083468628	-0.00952626864938882	0.0114823629463904
Esophagus_Muscularis	0.00110278735110081	0.000979517390907434	0.130115005867655	0.907090083468628	0.0151481778997364	0.0134549092157615
gdT	-0.000172918878184432	0.000232455668488291	0.771525143828488	0.907090083468628	-0.00237525931572022	0.00319307236934466
Heart_Atrial_Appendage	-0.000263808426938201	0.000885382752775558	0.617133059462172	0.907090083468628	-0.00362374212827199	0.0121618509996643
Heart_Left_Ventricle	0.00138770802908837	0.000772719950748742	0.0362572420885483	0.907090083468628	0.0190619234764886	0.0106142850377574
Lung	-0.00108665166695146	0.000810544974697925	0.909981849583	0.926456849188849	-0.0149265338866959	0.0111338595425539
Muscle_Skeletal	-0.000486831149648639	0.000690256738586374	0.75968509732562	0.907090083468628	-0.00668724106660218	0.00948154860695569
Nerve_Tibial	-0.00160429654574743	0.00110648743104764	0.926456849188849	0.926456849188849	-0.0220370404635636	0.0151990031737313
NK	0.000629632329130637	0.000612826701771651	0.152110631940743	0.907090083468628	0.00864879572981644	0.00841794920016004
NK_CD56bright	0.000272867452530952	0.000363035006842724	0.226137253879178	0.907090083468628	0.00374817929300758	0.00498674459948797
Skin_Not_Sun_Exposed_Suprapubic	-0.000278964348535206	0.00118205579883096	0.593283395768011	0.907090083468628	-0.00383192786449459	0.016237030203722
Skin_Sun_Exposed_Lower_leg	0.00171667845453213	0.00133838505699573	0.0998075113643817	0.907090083468628	0.023580748001815	0.0183844101235677
Thyroid	0.00139904661342968	0.00105726345558482	0.0928725506398818	0.907090083468628	0.0192176732613967	0.0145228496646266
Treg	9.29844511041275e-05	0.000341548641585132	0.392717337953026	0.907090083468628	0.00127725894373802	0.00469160221957599
Whole_Blood	-0.000345905657381886	0.000712039148057602	0.686444038632569	0.907090083468628	-0.00475145133766327	0.00978075752826376
AllTissues	-0.000260045798912982	0.000811764928913757	0.625647042517944	NA	-0.00357205767737613	0.0111506171554087
